filter_status	method	node	rejected
before_filter	Focused_BH	GO:0000002	FALSE
after_filter	Focused_BH	GO:0000002	FALSE
before_filter	Structured_Holm	GO:0000002	FALSE
after_filter	Structured_Holm	GO:0000002	FALSE
before_filter	BH	GO:0000002	FALSE
after_filter	BH	GO:0000002	FALSE
before_filter	Focused_BH	GO:0000003	FALSE
after_filter	Focused_BH	GO:0000003	FALSE
before_filter	Structured_Holm	GO:0000003	TRUE
after_filter	Structured_Holm	GO:0000003	FALSE
before_filter	BH	GO:0000003	FALSE
after_filter	BH	GO:0000003	FALSE
before_filter	Focused_BH	GO:0000012	FALSE
after_filter	Focused_BH	GO:0000012	FALSE
before_filter	Structured_Holm	GO:0000012	FALSE
after_filter	Structured_Holm	GO:0000012	FALSE
before_filter	BH	GO:0000012	FALSE
after_filter	BH	GO:0000012	FALSE
before_filter	Focused_BH	GO:0000018	FALSE
after_filter	Focused_BH	GO:0000018	FALSE
before_filter	Structured_Holm	GO:0000018	FALSE
after_filter	Structured_Holm	GO:0000018	FALSE
before_filter	BH	GO:0000018	TRUE
after_filter	BH	GO:0000018	FALSE
before_filter	Focused_BH	GO:0000019	FALSE
after_filter	Focused_BH	GO:0000019	FALSE
before_filter	Structured_Holm	GO:0000019	FALSE
after_filter	Structured_Holm	GO:0000019	FALSE
before_filter	BH	GO:0000019	FALSE
after_filter	BH	GO:0000019	FALSE
before_filter	Focused_BH	GO:0000022	FALSE
after_filter	Focused_BH	GO:0000022	FALSE
before_filter	Structured_Holm	GO:0000022	FALSE
after_filter	Structured_Holm	GO:0000022	FALSE
before_filter	BH	GO:0000022	FALSE
after_filter	BH	GO:0000022	FALSE
before_filter	Focused_BH	GO:0000023	FALSE
after_filter	Focused_BH	GO:0000023	FALSE
before_filter	Structured_Holm	GO:0000023	FALSE
after_filter	Structured_Holm	GO:0000023	FALSE
before_filter	BH	GO:0000023	FALSE
after_filter	BH	GO:0000023	FALSE
before_filter	Focused_BH	GO:0000027	FALSE
after_filter	Focused_BH	GO:0000027	FALSE
before_filter	Structured_Holm	GO:0000027	FALSE
after_filter	Structured_Holm	GO:0000027	FALSE
before_filter	BH	GO:0000027	FALSE
after_filter	BH	GO:0000027	FALSE
before_filter	Focused_BH	GO:0000028	FALSE
after_filter	Focused_BH	GO:0000028	FALSE
before_filter	Structured_Holm	GO:0000028	FALSE
after_filter	Structured_Holm	GO:0000028	FALSE
before_filter	BH	GO:0000028	FALSE
after_filter	BH	GO:0000028	FALSE
before_filter	Focused_BH	GO:0000032	FALSE
after_filter	Focused_BH	GO:0000032	FALSE
before_filter	Structured_Holm	GO:0000032	FALSE
after_filter	Structured_Holm	GO:0000032	FALSE
before_filter	BH	GO:0000032	FALSE
after_filter	BH	GO:0000032	FALSE
before_filter	Focused_BH	GO:0000038	FALSE
after_filter	Focused_BH	GO:0000038	FALSE
before_filter	Structured_Holm	GO:0000038	FALSE
after_filter	Structured_Holm	GO:0000038	FALSE
before_filter	BH	GO:0000038	FALSE
after_filter	BH	GO:0000038	FALSE
before_filter	Focused_BH	GO:0000041	FALSE
after_filter	Focused_BH	GO:0000041	FALSE
before_filter	Structured_Holm	GO:0000041	FALSE
after_filter	Structured_Holm	GO:0000041	FALSE
before_filter	BH	GO:0000041	FALSE
after_filter	BH	GO:0000041	FALSE
before_filter	Focused_BH	GO:0000045	FALSE
after_filter	Focused_BH	GO:0000045	FALSE
before_filter	Structured_Holm	GO:0000045	FALSE
after_filter	Structured_Holm	GO:0000045	FALSE
before_filter	BH	GO:0000045	FALSE
after_filter	BH	GO:0000045	FALSE
before_filter	Focused_BH	GO:0000050	FALSE
after_filter	Focused_BH	GO:0000050	FALSE
before_filter	Structured_Holm	GO:0000050	FALSE
after_filter	Structured_Holm	GO:0000050	FALSE
before_filter	BH	GO:0000050	FALSE
after_filter	BH	GO:0000050	FALSE
before_filter	Focused_BH	GO:0000052	FALSE
after_filter	Focused_BH	GO:0000052	FALSE
before_filter	Structured_Holm	GO:0000052	FALSE
after_filter	Structured_Holm	GO:0000052	FALSE
before_filter	BH	GO:0000052	FALSE
after_filter	BH	GO:0000052	FALSE
before_filter	Focused_BH	GO:0000053	FALSE
after_filter	Focused_BH	GO:0000053	FALSE
before_filter	Structured_Holm	GO:0000053	FALSE
after_filter	Structured_Holm	GO:0000053	FALSE
before_filter	BH	GO:0000053	FALSE
after_filter	BH	GO:0000053	FALSE
before_filter	Focused_BH	GO:0000054	FALSE
after_filter	Focused_BH	GO:0000054	FALSE
before_filter	Structured_Holm	GO:0000054	FALSE
after_filter	Structured_Holm	GO:0000054	FALSE
before_filter	BH	GO:0000054	FALSE
after_filter	BH	GO:0000054	FALSE
before_filter	Focused_BH	GO:0000055	FALSE
after_filter	Focused_BH	GO:0000055	FALSE
before_filter	Structured_Holm	GO:0000055	FALSE
after_filter	Structured_Holm	GO:0000055	FALSE
before_filter	BH	GO:0000055	FALSE
after_filter	BH	GO:0000055	FALSE
before_filter	Focused_BH	GO:0000056	FALSE
after_filter	Focused_BH	GO:0000056	FALSE
before_filter	Structured_Holm	GO:0000056	FALSE
after_filter	Structured_Holm	GO:0000056	FALSE
before_filter	BH	GO:0000056	FALSE
after_filter	BH	GO:0000056	FALSE
before_filter	Focused_BH	GO:0000070	TRUE
after_filter	Focused_BH	GO:0000070	FALSE
before_filter	Structured_Holm	GO:0000070	TRUE
after_filter	Structured_Holm	GO:0000070	FALSE
before_filter	BH	GO:0000070	TRUE
after_filter	BH	GO:0000070	FALSE
before_filter	Focused_BH	GO:0000075	TRUE
after_filter	Focused_BH	GO:0000075	FALSE
before_filter	Structured_Holm	GO:0000075	TRUE
after_filter	Structured_Holm	GO:0000075	FALSE
before_filter	BH	GO:0000075	TRUE
after_filter	BH	GO:0000075	FALSE
before_filter	Focused_BH	GO:0000076	FALSE
after_filter	Focused_BH	GO:0000076	FALSE
before_filter	Structured_Holm	GO:0000076	FALSE
after_filter	Structured_Holm	GO:0000076	FALSE
before_filter	BH	GO:0000076	FALSE
after_filter	BH	GO:0000076	FALSE
before_filter	Focused_BH	GO:0000077	FALSE
after_filter	Focused_BH	GO:0000077	FALSE
before_filter	Structured_Holm	GO:0000077	FALSE
after_filter	Structured_Holm	GO:0000077	FALSE
before_filter	BH	GO:0000077	TRUE
after_filter	BH	GO:0000077	FALSE
before_filter	Focused_BH	GO:0000079	FALSE
after_filter	Focused_BH	GO:0000079	FALSE
before_filter	Structured_Holm	GO:0000079	FALSE
after_filter	Structured_Holm	GO:0000079	FALSE
before_filter	BH	GO:0000079	FALSE
after_filter	BH	GO:0000079	FALSE
before_filter	Focused_BH	GO:0000082	FALSE
after_filter	Focused_BH	GO:0000082	FALSE
before_filter	Structured_Holm	GO:0000082	FALSE
after_filter	Structured_Holm	GO:0000082	FALSE
before_filter	BH	GO:0000082	FALSE
after_filter	BH	GO:0000082	FALSE
before_filter	Focused_BH	GO:0000083	FALSE
after_filter	Focused_BH	GO:0000083	FALSE
before_filter	Structured_Holm	GO:0000083	FALSE
after_filter	Structured_Holm	GO:0000083	FALSE
before_filter	BH	GO:0000083	FALSE
after_filter	BH	GO:0000083	FALSE
before_filter	Focused_BH	GO:0000086	FALSE
after_filter	Focused_BH	GO:0000086	FALSE
before_filter	Structured_Holm	GO:0000086	FALSE
after_filter	Structured_Holm	GO:0000086	FALSE
before_filter	BH	GO:0000086	FALSE
after_filter	BH	GO:0000086	FALSE
before_filter	Focused_BH	GO:0000096	FALSE
after_filter	Focused_BH	GO:0000096	FALSE
before_filter	Structured_Holm	GO:0000096	FALSE
after_filter	Structured_Holm	GO:0000096	FALSE
before_filter	BH	GO:0000096	FALSE
after_filter	BH	GO:0000096	FALSE
before_filter	Focused_BH	GO:0000097	FALSE
after_filter	Focused_BH	GO:0000097	FALSE
before_filter	Structured_Holm	GO:0000097	FALSE
after_filter	Structured_Holm	GO:0000097	FALSE
before_filter	BH	GO:0000097	FALSE
after_filter	BH	GO:0000097	FALSE
before_filter	Focused_BH	GO:0000098	FALSE
after_filter	Focused_BH	GO:0000098	FALSE
before_filter	Structured_Holm	GO:0000098	FALSE
after_filter	Structured_Holm	GO:0000098	FALSE
before_filter	BH	GO:0000098	FALSE
after_filter	BH	GO:0000098	FALSE
before_filter	Focused_BH	GO:0000101	FALSE
after_filter	Focused_BH	GO:0000101	FALSE
before_filter	Structured_Holm	GO:0000101	FALSE
after_filter	Structured_Holm	GO:0000101	FALSE
before_filter	BH	GO:0000101	FALSE
after_filter	BH	GO:0000101	FALSE
before_filter	Focused_BH	GO:0000103	FALSE
after_filter	Focused_BH	GO:0000103	FALSE
before_filter	Structured_Holm	GO:0000103	FALSE
after_filter	Structured_Holm	GO:0000103	FALSE
before_filter	BH	GO:0000103	FALSE
after_filter	BH	GO:0000103	FALSE
before_filter	Focused_BH	GO:0000105	FALSE
after_filter	Focused_BH	GO:0000105	FALSE
before_filter	Structured_Holm	GO:0000105	FALSE
after_filter	Structured_Holm	GO:0000105	FALSE
before_filter	BH	GO:0000105	FALSE
after_filter	BH	GO:0000105	FALSE
before_filter	Focused_BH	GO:0000117	FALSE
after_filter	Focused_BH	GO:0000117	FALSE
before_filter	Structured_Holm	GO:0000117	FALSE
after_filter	Structured_Holm	GO:0000117	FALSE
before_filter	BH	GO:0000117	FALSE
after_filter	BH	GO:0000117	FALSE
before_filter	Focused_BH	GO:0000122	FALSE
after_filter	Focused_BH	GO:0000122	FALSE
before_filter	Structured_Holm	GO:0000122	FALSE
after_filter	Structured_Holm	GO:0000122	FALSE
before_filter	BH	GO:0000122	FALSE
after_filter	BH	GO:0000122	FALSE
before_filter	Focused_BH	GO:0000132	FALSE
after_filter	Focused_BH	GO:0000132	FALSE
before_filter	Structured_Holm	GO:0000132	FALSE
after_filter	Structured_Holm	GO:0000132	FALSE
before_filter	BH	GO:0000132	FALSE
after_filter	BH	GO:0000132	FALSE
before_filter	Focused_BH	GO:0000147	FALSE
after_filter	Focused_BH	GO:0000147	FALSE
before_filter	Structured_Holm	GO:0000147	FALSE
after_filter	Structured_Holm	GO:0000147	FALSE
before_filter	BH	GO:0000147	FALSE
after_filter	BH	GO:0000147	FALSE
before_filter	Focused_BH	GO:0000154	FALSE
after_filter	Focused_BH	GO:0000154	FALSE
before_filter	Structured_Holm	GO:0000154	FALSE
after_filter	Structured_Holm	GO:0000154	FALSE
before_filter	BH	GO:0000154	FALSE
after_filter	BH	GO:0000154	FALSE
before_filter	Focused_BH	GO:0000160	FALSE
after_filter	Focused_BH	GO:0000160	FALSE
before_filter	Structured_Holm	GO:0000160	FALSE
after_filter	Structured_Holm	GO:0000160	FALSE
before_filter	BH	GO:0000160	FALSE
after_filter	BH	GO:0000160	FALSE
before_filter	Focused_BH	GO:0000165	FALSE
after_filter	Focused_BH	GO:0000165	FALSE
before_filter	Structured_Holm	GO:0000165	FALSE
after_filter	Structured_Holm	GO:0000165	FALSE
before_filter	BH	GO:0000165	FALSE
after_filter	BH	GO:0000165	FALSE
before_filter	Focused_BH	GO:0000173	FALSE
after_filter	Focused_BH	GO:0000173	FALSE
before_filter	Structured_Holm	GO:0000173	FALSE
after_filter	Structured_Holm	GO:0000173	FALSE
before_filter	BH	GO:0000173	FALSE
after_filter	BH	GO:0000173	FALSE
before_filter	Focused_BH	GO:0000183	FALSE
after_filter	Focused_BH	GO:0000183	FALSE
before_filter	Structured_Holm	GO:0000183	FALSE
after_filter	Structured_Holm	GO:0000183	FALSE
before_filter	BH	GO:0000183	FALSE
after_filter	BH	GO:0000183	FALSE
before_filter	Focused_BH	GO:0000184	FALSE
after_filter	Focused_BH	GO:0000184	FALSE
before_filter	Structured_Holm	GO:0000184	FALSE
after_filter	Structured_Holm	GO:0000184	FALSE
before_filter	BH	GO:0000184	FALSE
after_filter	BH	GO:0000184	FALSE
before_filter	Focused_BH	GO:0000185	FALSE
after_filter	Focused_BH	GO:0000185	FALSE
before_filter	Structured_Holm	GO:0000185	FALSE
after_filter	Structured_Holm	GO:0000185	FALSE
before_filter	BH	GO:0000185	FALSE
after_filter	BH	GO:0000185	FALSE
before_filter	Focused_BH	GO:0000186	FALSE
after_filter	Focused_BH	GO:0000186	FALSE
before_filter	Structured_Holm	GO:0000186	FALSE
after_filter	Structured_Holm	GO:0000186	FALSE
before_filter	BH	GO:0000186	FALSE
after_filter	BH	GO:0000186	FALSE
before_filter	Focused_BH	GO:0000187	FALSE
after_filter	Focused_BH	GO:0000187	FALSE
before_filter	Structured_Holm	GO:0000187	FALSE
after_filter	Structured_Holm	GO:0000187	FALSE
before_filter	BH	GO:0000187	FALSE
