coding	num_affected
A00	2
A000	0
A001	0
A009	2
A01	18
A010	11
A011	4
A012	0
A013	0
A014	3
A02	98
A020	79
A021	6
A022	3
A028	1
A029	9
A03	14
A030	0
A031	3
A032	0
A033	3
A038	0
A039	8
A04	1375
A040	0
A041	2
A042	0
A043	2
A044	18
A045	376
A046	0
A047	251
A048	699
A049	27
A05	21
A050	0
A051	0
A052	0
A053	0
A054	0
A058	1
A059	20
A06	25
A060	6
A061	4
A062	2
A063	0
A064	10
A065	0
A066	1
A067	0
A068	0
A069	2
A07	36
A070	0
A071	32
A072	2
A073	0
A078	1
A079	1
A08	853
A080	5
A081	35
A082	2
A083	27
A084	776
A085	8
A09	3368
A090	149
A099	3219
A15	42
A150	17
A151	4
A152	11
A153	2
A154	0
A155	0
A156	5
A157	2
A158	0
A159	1
A16	80
A160	2
A161	0
A162	35
A163	2
A164	1
A165	9
A167	0
A168	0
A169	31
A17	16
A170	12
A171	0
A178	4
A179	0
A18	58
A180	15
A181	9
A182	16
A183	7
A184	4
A185	2
A186	0
A187	1
A188	4
A19	10
A190	1
A191	0
A192	1
A198	0
A199	8
A20	0
A200	0
A201	0
A202	0
A203	0
A207	0
A208	0
A209	0
A21	0
A210	0
A211	0
A212	0
A213	0
A217	0
A218	0
A219	0
A22	0
A220	0
A221	0
A222	0
A227	0
A228	0
A229	0
A23	0
A230	0
A231	0
A232	0
A233	0
A238	0
A239	0
A24	0
A240	0
A241	0
A242	0
A243	0
A244	0
A25	0
A250	0
A251	0
A259	0
A26	1
A260	1
A267	0
A268	0
A269	0
A27	10
A270	0
A278	0
A279	10
A28	9
A280	5
A281	4
A282	0
A288	0
A289	0
A30	0
A300	0
A301	0
A302	0
A303	0
A304	0
A305	0
A308	0
A309	0
A31	25
A310	13
A311	0
A318	4
A319	8
A32	9
A320	0
A321	4
A327	4
A328	1
A329	0
A33	0
A34	0
A35	0
A36	0
A360	0
A361	0
A362	0
A363	0
A368	0
A369	0
A37	0
A370	0
A371	0
A378	0
A379	0
A38	2
A39	64
A390	29
A391	0
A392	5
A393	0
A394	23
A395	0
A398	6
A399	1
A40	100
A400	22
A401	10
A402	3
A403	27
A408	30
A409	8
A41	2282
A410	99
A411	46
A412	17
A413	5
A414	4
A415	309
A418	80
A419	1722
A42	9
A420	0
A421	2
A422	1
A427	0
A428	4
A429	2
A43	0
A430	0
A431	0
A438	0
A439	0
A44	0
A440	0
A441	0
A448	0
A449	0
A46	121
A48	73
A480	1
A481	62
A482	0
A483	5
A484	0
A488	5
A49	156
A490	31
A491	24
A492	13
A493	4
A498	46
A499	38
A50	0
A500	0
A501	0
A502	0
A503	0
