filter_status	method	node	rejected	meaning
before_filter	Focused_BH	A02	FALSE	A02 Other Salmonella infections
after_filter	Focused_BH	A02	FALSE	A02 Other Salmonella infections
before_filter	Structured_Holm	A02	FALSE	A02 Other Salmonella infections
after_filter	Structured_Holm	A02	FALSE	A02 Other Salmonella infections
before_filter	BH	A02	FALSE	A02 Other Salmonella infections
after_filter	BH	A02	FALSE	A02 Other Salmonella infections
before_filter	Leaf_BH	A02	FALSE	A02 Other Salmonella infections
after_filter	Leaf_BH	A02	FALSE	A02 Other Salmonella infections
before_filter	Yekutieli	A02	FALSE	A02 Other Salmonella infections
after_filter	Yekutieli	A02	FALSE	A02 Other Salmonella infections
before_filter	Focused_BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
after_filter	Focused_BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
before_filter	Structured_Holm	A020	FALSE	A02.0 Salmonella gastro-enteritis
after_filter	Structured_Holm	A020	FALSE	A02.0 Salmonella gastro-enteritis
before_filter	BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
after_filter	BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
before_filter	Leaf_BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
after_filter	Leaf_BH	A020	FALSE	A02.0 Salmonella gastro-enteritis
before_filter	Yekutieli	A020	FALSE	A02.0 Salmonella gastro-enteritis
after_filter	Yekutieli	A020	FALSE	A02.0 Salmonella gastro-enteritis
before_filter	Focused_BH	A04	FALSE	A04 Other bacterial intestinal infections
after_filter	Focused_BH	A04	FALSE	A04 Other bacterial intestinal infections
before_filter	Structured_Holm	A04	FALSE	A04 Other bacterial intestinal infections
after_filter	Structured_Holm	A04	FALSE	A04 Other bacterial intestinal infections
before_filter	BH	A04	FALSE	A04 Other bacterial intestinal infections
after_filter	BH	A04	FALSE	A04 Other bacterial intestinal infections
before_filter	Leaf_BH	A04	FALSE	A04 Other bacterial intestinal infections
after_filter	Leaf_BH	A04	FALSE	A04 Other bacterial intestinal infections
before_filter	Yekutieli	A04	FALSE	A04 Other bacterial intestinal infections
after_filter	Yekutieli	A04	FALSE	A04 Other bacterial intestinal infections
before_filter	Focused_BH	A045	FALSE	A04.5 Campylobacter enteritis
after_filter	Focused_BH	A045	FALSE	A04.5 Campylobacter enteritis
before_filter	Structured_Holm	A045	FALSE	A04.5 Campylobacter enteritis
after_filter	Structured_Holm	A045	FALSE	A04.5 Campylobacter enteritis
before_filter	BH	A045	FALSE	A04.5 Campylobacter enteritis
after_filter	BH	A045	FALSE	A04.5 Campylobacter enteritis
before_filter	Leaf_BH	A045	FALSE	A04.5 Campylobacter enteritis
after_filter	Leaf_BH	A045	FALSE	A04.5 Campylobacter enteritis
before_filter	Yekutieli	A045	FALSE	A04.5 Campylobacter enteritis
after_filter	Yekutieli	A045	FALSE	A04.5 Campylobacter enteritis
before_filter	Focused_BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
after_filter	Focused_BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
before_filter	Structured_Holm	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
after_filter	Structured_Holm	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
before_filter	BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
after_filter	BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
before_filter	Leaf_BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
after_filter	Leaf_BH	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
before_filter	Yekutieli	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
after_filter	Yekutieli	A047	FALSE	A04.7 Enterocolitis due to Clostridium difficile
before_filter	Focused_BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
after_filter	Focused_BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
before_filter	Structured_Holm	A048	FALSE	A04.8 Other specified bacterial intestinal infections
after_filter	Structured_Holm	A048	FALSE	A04.8 Other specified bacterial intestinal infections
before_filter	BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
after_filter	BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
before_filter	Leaf_BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
after_filter	Leaf_BH	A048	FALSE	A04.8 Other specified bacterial intestinal infections
before_filter	Yekutieli	A048	FALSE	A04.8 Other specified bacterial intestinal infections
after_filter	Yekutieli	A048	FALSE	A04.8 Other specified bacterial intestinal infections
before_filter	Focused_BH	A08	FALSE	A08 Viral and other specified intestinal infections
after_filter	Focused_BH	A08	FALSE	A08 Viral and other specified intestinal infections
before_filter	Structured_Holm	A08	FALSE	A08 Viral and other specified intestinal infections
after_filter	Structured_Holm	A08	FALSE	A08 Viral and other specified intestinal infections
before_filter	BH	A08	FALSE	A08 Viral and other specified intestinal infections
after_filter	BH	A08	FALSE	A08 Viral and other specified intestinal infections
before_filter	Leaf_BH	A08	FALSE	A08 Viral and other specified intestinal infections
after_filter	Leaf_BH	A08	FALSE	A08 Viral and other specified intestinal infections
before_filter	Yekutieli	A08	FALSE	A08 Viral and other specified intestinal infections
after_filter	Yekutieli	A08	FALSE	A08 Viral and other specified intestinal infections
before_filter	Focused_BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
after_filter	Focused_BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
before_filter	Structured_Holm	A084	FALSE	A08.4 Viral intestinal infection, unspecified
after_filter	Structured_Holm	A084	FALSE	A08.4 Viral intestinal infection, unspecified
before_filter	BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
after_filter	BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
before_filter	Leaf_BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
after_filter	Leaf_BH	A084	FALSE	A08.4 Viral intestinal infection, unspecified
before_filter	Yekutieli	A084	FALSE	A08.4 Viral intestinal infection, unspecified
after_filter	Yekutieli	A084	FALSE	A08.4 Viral intestinal infection, unspecified
before_filter	Focused_BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
after_filter	Focused_BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
before_filter	Structured_Holm	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
after_filter	Structured_Holm	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
before_filter	BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
after_filter	BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
before_filter	Leaf_BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
after_filter	Leaf_BH	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
before_filter	Yekutieli	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
after_filter	Yekutieli	A09	FALSE	A09 Diarrhoea and gastro-enteritis of presumed infectious origin
before_filter	Focused_BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
after_filter	Focused_BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
before_filter	Structured_Holm	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
after_filter	Structured_Holm	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
before_filter	BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
after_filter	BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
before_filter	Leaf_BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
after_filter	Leaf_BH	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
before_filter	Yekutieli	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
after_filter	Yekutieli	A090	FALSE	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin
before_filter	Focused_BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
after_filter	Focused_BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
before_filter	Structured_Holm	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
after_filter	Structured_Holm	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
before_filter	BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
after_filter	BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
before_filter	Leaf_BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
after_filter	Leaf_BH	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
before_filter	Yekutieli	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
after_filter	Yekutieli	A099	FALSE	A09.9 Gastroenteritis and colitis of unspecified origin
before_filter	Focused_BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
after_filter	Focused_BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
before_filter	Structured_Holm	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
after_filter	Structured_Holm	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
before_filter	BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
after_filter	BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
before_filter	Leaf_BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
after_filter	Leaf_BH	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
before_filter	Yekutieli	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
after_filter	Yekutieli	A16	FALSE	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically
before_filter	Focused_BH	A18	FALSE	A18 Tuberculosis of other organs
after_filter	Focused_BH	A18	FALSE	A18 Tuberculosis of other organs
before_filter	Structured_Holm	A18	FALSE	A18 Tuberculosis of other organs
after_filter	Structured_Holm	A18	FALSE	A18 Tuberculosis of other organs
before_filter	BH	A18	FALSE	A18 Tuberculosis of other organs
after_filter	BH	A18	FALSE	A18 Tuberculosis of other organs
before_filter	Leaf_BH	A18	FALSE	A18 Tuberculosis of other organs
after_filter	Leaf_BH	A18	FALSE	A18 Tuberculosis of other organs
before_filter	Yekutieli	A18	FALSE	A18 Tuberculosis of other organs
after_filter	Yekutieli	A18	FALSE	A18 Tuberculosis of other organs
before_filter	Focused_BH	A39	FALSE	A39 Meningococcal infection
after_filter	Focused_BH	A39	FALSE	A39 Meningococcal infection
before_filter	Structured_Holm	A39	FALSE	A39 Meningococcal infection
after_filter	Structured_Holm	A39	FALSE	A39 Meningococcal infection
before_filter	BH	A39	FALSE	A39 Meningococcal infection
after_filter	BH	A39	FALSE	A39 Meningococcal infection
before_filter	Leaf_BH	A39	FALSE	A39 Meningococcal infection
after_filter	Leaf_BH	A39	FALSE	A39 Meningococcal infection
before_filter	Yekutieli	A39	FALSE	A39 Meningococcal infection
after_filter	Yekutieli	A39	FALSE	A39 Meningococcal infection
before_filter	Focused_BH	A40	FALSE	A40 Streptococcal septicaemia
after_filter	Focused_BH	A40	FALSE	A40 Streptococcal septicaemia
before_filter	Structured_Holm	A40	FALSE	A40 Streptococcal septicaemia
after_filter	Structured_Holm	A40	FALSE	A40 Streptococcal septicaemia
before_filter	BH	A40	FALSE	A40 Streptococcal septicaemia
after_filter	BH	A40	FALSE	A40 Streptococcal septicaemia
before_filter	Leaf_BH	A40	FALSE	A40 Streptococcal septicaemia
after_filter	Leaf_BH	A40	FALSE	A40 Streptococcal septicaemia
before_filter	Yekutieli	A40	FALSE	A40 Streptococcal septicaemia
after_filter	Yekutieli	A40	FALSE	A40 Streptococcal septicaemia
before_filter	Focused_BH	A41	FALSE	A41 Other septicaemia
after_filter	Focused_BH	A41	FALSE	A41 Other septicaemia
before_filter	Structured_Holm	A41	FALSE	A41 Other septicaemia
after_filter	Structured_Holm	A41	FALSE	A41 Other septicaemia
before_filter	BH	A41	FALSE	A41 Other septicaemia
after_filter	BH	A41	FALSE	A41 Other septicaemia
before_filter	Leaf_BH	A41	FALSE	A41 Other septicaemia
after_filter	Leaf_BH	A41	FALSE	A41 Other septicaemia
before_filter	Yekutieli	A41	FALSE	A41 Other septicaemia
after_filter	Yekutieli	A41	FALSE	A41 Other septicaemia
before_filter	Focused_BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
after_filter	Focused_BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
before_filter	Structured_Holm	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
after_filter	Structured_Holm	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
before_filter	BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
after_filter	BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
before_filter	Leaf_BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
after_filter	Leaf_BH	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
before_filter	Yekutieli	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
after_filter	Yekutieli	A410	FALSE	A41.0 Septicaemia due to Staphylococcus aureus
before_filter	Focused_BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
after_filter	Focused_BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
before_filter	Structured_Holm	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
after_filter	Structured_Holm	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
before_filter	BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
after_filter	BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
before_filter	Leaf_BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
after_filter	Leaf_BH	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
before_filter	Yekutieli	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
after_filter	Yekutieli	A415	FALSE	A41.5 Septicaemia due to other Gram-negative organisms
before_filter	Focused_BH	A418	FALSE	A41.8 Other specified septicaemia
after_filter	Focused_BH	A418	FALSE	A41.8 Other specified septicaemia
before_filter	Structured_Holm	A418	FALSE	A41.8 Other specified septicaemia
after_filter	Structured_Holm	A418	FALSE	A41.8 Other specified septicaemia
before_filter	BH	A418	FALSE	A41.8 Other specified septicaemia
after_filter	BH	A418	FALSE	A41.8 Other specified septicaemia
before_filter	Leaf_BH	A418	FALSE	A41.8 Other specified septicaemia
after_filter	Leaf_BH	A418	FALSE	A41.8 Other specified septicaemia
before_filter	Yekutieli	A418	FALSE	A41.8 Other specified septicaemia
