method	metric	value	signal_strength	rep
BH	power	0	1	5
Leaf_BH	power	0	1	5
Focused_BH_original	power	0	1	5
Yekutieli	power	0	1	5
Structured_Holm	power	0	1	5
BH	fdp	0	1	5
Leaf_BH	fdp	0	1	5
Focused_BH_original	fdp	0	1	5
Yekutieli	fdp	0	1	5
Structured_Holm	fdp	0	1	5
BH	power	0	1	18
Leaf_BH	power	0	1	18
Focused_BH_original	power	0	1	18
Yekutieli	power	0	1	18
Structured_Holm	power	0	1	18
BH	fdp	0	1	18
Leaf_BH	fdp	0	1	18
Focused_BH_original	fdp	0	1	18
Yekutieli	fdp	0	1	18
Structured_Holm	fdp	0	1	18
BH	power	0	1	31
Leaf_BH	power	0	1	31
Focused_BH_original	power	0	1	31
Yekutieli	power	0	1	31
Structured_Holm	power	0	1	31
BH	fdp	0	1	31
Leaf_BH	fdp	0	1	31
Focused_BH_original	fdp	0	1	31
Yekutieli	fdp	0	1	31
Structured_Holm	fdp	0	1	31
BH	power	0	1	44
Leaf_BH	power	0	1	44
Focused_BH_original	power	0	1	44
Yekutieli	power	0	1	44
Structured_Holm	power	0	1	44
BH	fdp	1	1	44
Leaf_BH	fdp	0	1	44
Focused_BH_original	fdp	1	1	44
Yekutieli	fdp	0	1	44
Structured_Holm	fdp	1	1	44
BH	power	0	1	57
Leaf_BH	power	0	1	57
Focused_BH_original	power	0	1	57
Yekutieli	power	0	1	57
Structured_Holm	power	0	1	57
BH	fdp	0	1	57
Leaf_BH	fdp	0	1	57
Focused_BH_original	fdp	0	1	57
Yekutieli	fdp	0	1	57
Structured_Holm	fdp	0	1	57
BH	power	0	1	70
Leaf_BH	power	0	1	70
Focused_BH_original	power	0	1	70
Yekutieli	power	0	1	70
Structured_Holm	power	0	1	70
BH	fdp	0	1	70
Leaf_BH	fdp	0	1	70
Focused_BH_original	fdp	0	1	70
Yekutieli	fdp	0	1	70
Structured_Holm	fdp	0	1	70
BH	power	0	1	83
Leaf_BH	power	0	1	83
Focused_BH_original	power	0	1	83
Yekutieli	power	0	1	83
Structured_Holm	power	0	1	83
BH	fdp	0	1	83
Leaf_BH	fdp	0	1	83
Focused_BH_original	fdp	0	1	83
Yekutieli	fdp	0	1	83
Structured_Holm	fdp	0	1	83
BH	power	0	1	96
Leaf_BH	power	0	1	96
Focused_BH_original	power	0	1	96
Yekutieli	power	0	1	96
Structured_Holm	power	0	1	96
BH	fdp	0	1	96
Leaf_BH	fdp	0	1	96
Focused_BH_original	fdp	0	1	96
Yekutieli	fdp	0	1	96
Structured_Holm	fdp	0	1	96
BH	power	0	1	109
Leaf_BH	power	0	1	109
Focused_BH_original	power	0	1	109
Yekutieli	power	0	1	109
Structured_Holm	power	0	1	109
BH	fdp	0	1	109
Leaf_BH	fdp	0	1	109
Focused_BH_original	fdp	0	1	109
Yekutieli	fdp	0	1	109
Structured_Holm	fdp	0	1	109
BH	power	0	1	122
Leaf_BH	power	0	1	122
Focused_BH_original	power	0	1	122
Yekutieli	power	0	1	122
Structured_Holm	power	0	1	122
BH	fdp	0	1	122
Leaf_BH	fdp	0	1	122
Focused_BH_original	fdp	0	1	122
Yekutieli	fdp	0	1	122
Structured_Holm	fdp	0	1	122
BH	power	0	1	135
Leaf_BH	power	0	1	135
Focused_BH_original	power	0	1	135
Yekutieli	power	0	1	135
Structured_Holm	power	0	1	135
BH	fdp	0	1	135
Leaf_BH	fdp	0	1	135
Focused_BH_original	fdp	0	1	135
Yekutieli	fdp	0	1	135
