method	metric	value	signal_strength	rep
BH	power	0	1	2
Leaf_BH	power	0	1	2
Focused_BH_original	power	0	1	2
Yekutieli	power	0	1	2
Structured_Holm	power	0	1	2
BH	fdp	0	1	2
Leaf_BH	fdp	0	1	2
Focused_BH_original	fdp	0	1	2
Yekutieli	fdp	0	1	2
Structured_Holm	fdp	0	1	2
BH	power	0	1	15
Leaf_BH	power	0	1	15
Focused_BH_original	power	0	1	15
Yekutieli	power	0	1	15
Structured_Holm	power	0	1	15
BH	fdp	0	1	15
Leaf_BH	fdp	0	1	15
Focused_BH_original	fdp	0	1	15
Yekutieli	fdp	0	1	15
Structured_Holm	fdp	0	1	15
BH	power	0	1	28
Leaf_BH	power	0	1	28
Focused_BH_original	power	0	1	28
Yekutieli	power	0	1	28
Structured_Holm	power	0	1	28
BH	fdp	0	1	28
Leaf_BH	fdp	0	1	28
Focused_BH_original	fdp	0	1	28
Yekutieli	fdp	0	1	28
Structured_Holm	fdp	0	1	28
BH	power	0	1	41
Leaf_BH	power	0	1	41
Focused_BH_original	power	0	1	41
Yekutieli	power	0	1	41
Structured_Holm	power	0	1	41
BH	fdp	0	1	41
Leaf_BH	fdp	0	1	41
Focused_BH_original	fdp	0	1	41
Yekutieli	fdp	0	1	41
Structured_Holm	fdp	0	1	41
BH	power	0	1	54
Leaf_BH	power	0	1	54
Focused_BH_original	power	0	1	54
Yekutieli	power	0	1	54
Structured_Holm	power	0	1	54
BH	fdp	0	1	54
Leaf_BH	fdp	0	1	54
Focused_BH_original	fdp	0	1	54
Yekutieli	fdp	0	1	54
Structured_Holm	fdp	0	1	54
BH	power	0	1	67
Leaf_BH	power	0	1	67
Focused_BH_original	power	0	1	67
Yekutieli	power	0	1	67
Structured_Holm	power	0	1	67
BH	fdp	0	1	67
Leaf_BH	fdp	0	1	67
Focused_BH_original	fdp	0	1	67
Yekutieli	fdp	0	1	67
Structured_Holm	fdp	0	1	67
BH	power	0	1	80
Leaf_BH	power	0	1	80
Focused_BH_original	power	0	1	80
Yekutieli	power	0	1	80
Structured_Holm	power	0	1	80
BH	fdp	0	1	80
Leaf_BH	fdp	0	1	80
Focused_BH_original	fdp	0	1	80
Yekutieli	fdp	0	1	80
Structured_Holm	fdp	0	1	80
BH	power	0	1	93
Leaf_BH	power	0	1	93
Focused_BH_original	power	0	1	93
Yekutieli	power	0	1	93
Structured_Holm	power	0	1	93
BH	fdp	0	1	93
Leaf_BH	fdp	0	1	93
Focused_BH_original	fdp	0	1	93
Yekutieli	fdp	0	1	93
Structured_Holm	fdp	0	1	93
BH	power	0	1	106
Leaf_BH	power	0	1	106
Focused_BH_original	power	0	1	106
Yekutieli	power	0	1	106
Structured_Holm	power	0	1	106
BH	fdp	0	1	106
Leaf_BH	fdp	0	1	106
Focused_BH_original	fdp	0	1	106
Yekutieli	fdp	0	1	106
Structured_Holm	fdp	0	1	106
BH	power	0	1	119
Leaf_BH	power	0	1	119
Focused_BH_original	power	0	1	119
Yekutieli	power	0	1	119
Structured_Holm	power	0	1	119
BH	fdp	0	1	119
Leaf_BH	fdp	0	1	119
Focused_BH_original	fdp	0	1	119
Yekutieli	fdp	0	1	119
Structured_Holm	fdp	0	1	119
BH	power	0	1	132
Leaf_BH	power	0	1	132
Focused_BH_original	power	0	1	132
Yekutieli	power	0	1	132
Structured_Holm	power	0	1	132
BH	fdp	0	1	132
Leaf_BH	fdp	0	1	132
Focused_BH_original	fdp	0	1	132
Yekutieli	fdp	0	1	132
Structured_Holm	fdp	0	1	132
BH	power	0	1	145
Leaf_BH	power	0	1	145
Focused_BH_original	power	0	1	145
Yekutieli	power	0	1	145
Structured_Holm	power	0	1	145
BH	fdp	1	1	145
Leaf_BH	fdp	1	1	145
Focused_BH_original	fdp	1	1	145
Yekutieli	fdp	0	1	145
Structured_Holm	fdp	1	1	145
BH	power	0	1	158
Leaf_BH	power	0	1	158
Focused_BH_original	power	0	1	158
Yekutieli	power	0	1	158
Structured_Holm	power	0	1	158
BH	fdp	0	1	158
Leaf_BH	fdp	0	1	158
Focused_BH_original	fdp	0	1	158
Yekutieli	fdp	0	1	158
Structured_Holm	fdp	0	1	158
BH	power	0	1	171
Leaf_BH	power	0	1	171
Focused_BH_original	power	0	1	171
Yekutieli	power	0	1	171
Structured_Holm	power	0	1	171
BH	fdp	0	1	171
Leaf_BH	fdp	0	1	171
Focused_BH_original	fdp	0	1	171
Yekutieli	fdp	0	1	171
