method	metric	value	signal_strength	rep
Focused_BH_original	power	0	1	5
Leaf_BH_1	power	0	1	5
Leaf_BH_2	power	0	1	5
Leaf_BH_3	power	0	1	5
Focused_BH_original	fdp	0	1	5
Leaf_BH_1	fdp	0	1	5
Leaf_BH_2	fdp	0	1	5
Leaf_BH_3	fdp	0	1	5
Focused_BH_original	power	1	1	18
Leaf_BH_1	power	0	1	18
Leaf_BH_2	power	1	1	18
Leaf_BH_3	power	0	1	18
Focused_BH_original	fdp	0.5	1	18
Leaf_BH_1	fdp	0	1	18
Leaf_BH_2	fdp	0.5	1	18
Leaf_BH_3	fdp	1	1	18
Focused_BH_original	power	0	1	31
Leaf_BH_1	power	0	1	31
Leaf_BH_2	power	0	1	31
Leaf_BH_3	power	0	1	31
Focused_BH_original	fdp	0	1	31
Leaf_BH_1	fdp	0	1	31
Leaf_BH_2	fdp	0	1	31
Leaf_BH_3	fdp	1	1	31
Focused_BH_original	power	0	1	44
Leaf_BH_1	power	0	1	44
Leaf_BH_2	power	0	1	44
Leaf_BH_3	power	0	1	44
Focused_BH_original	fdp	1	1	44
Leaf_BH_1	fdp	0	1	44
Leaf_BH_2	fdp	1	1	44
Leaf_BH_3	fdp	1	1	44
Focused_BH_original	power	0	1	57
Leaf_BH_1	power	0	1	57
Leaf_BH_2	power	0	1	57
Leaf_BH_3	power	0	1	57
Focused_BH_original	fdp	0	1	57
Leaf_BH_1	fdp	0	1	57
Leaf_BH_2	fdp	0	1	57
Leaf_BH_3	fdp	0	1	57
Focused_BH_original	power	0	1	70
Leaf_BH_1	power	0	1	70
Leaf_BH_2	power	2	1	70
Leaf_BH_3	power	0	1	70
Focused_BH_original	fdp	0	1	70
Leaf_BH_1	fdp	0	1	70
Leaf_BH_2	fdp	0	1	70
Leaf_BH_3	fdp	0	1	70
Focused_BH_original	power	1	1	83
Leaf_BH_1	power	0	1	83
Leaf_BH_2	power	2	1	83
Leaf_BH_3	power	0	1	83
Focused_BH_original	fdp	0	1	83
Leaf_BH_1	fdp	0	1	83
Leaf_BH_2	fdp	0	1	83
Leaf_BH_3	fdp	0	1	83
Focused_BH_original	power	0	1	96
Leaf_BH_1	power	0	1	96
Leaf_BH_2	power	0	1	96
Leaf_BH_3	power	0	1	96
Focused_BH_original	fdp	0	1	96
Leaf_BH_1	fdp	0	1	96
Leaf_BH_2	fdp	0	1	96
Leaf_BH_3	fdp	0	1	96
Focused_BH_original	power	0	1	109
Leaf_BH_1	power	0	1	109
Leaf_BH_2	power	2	1	109
Leaf_BH_3	power	0	1	109
Focused_BH_original	fdp	0	1	109
Leaf_BH_1	fdp	0	1	109
Leaf_BH_2	fdp	0	1	109
Leaf_BH_3	fdp	0	1	109
Focused_BH_original	power	0	1	122
Leaf_BH_1	power	0	1	122
Leaf_BH_2	power	0	1	122
Leaf_BH_3	power	0	1	122
Focused_BH_original	fdp	0	1	122
Leaf_BH_1	fdp	0	1	122
Leaf_BH_2	fdp	0	1	122
Leaf_BH_3	fdp	1	1	122
Focused_BH_original	power	0	1	135
Leaf_BH_1	power	0	1	135
Leaf_BH_2	power	0	1	135
Leaf_BH_3	power	0	1	135
Focused_BH_original	fdp	0	1	135
Leaf_BH_1	fdp	0	1	135
Leaf_BH_2	fdp	0	1	135
Leaf_BH_3	fdp	0	1	135
Focused_BH_original	power	0	1	148
Leaf_BH_1	power	0	1	148
Leaf_BH_2	power	0	1	148
Leaf_BH_3	power	0	1	148
Focused_BH_original	fdp	0	1	148
Leaf_BH_1	fdp	0	1	148
Leaf_BH_2	fdp	0	1	148
Leaf_BH_3	fdp	0	1	148
Focused_BH_original	power	0	1	161
Leaf_BH_1	power	0	1	161
Leaf_BH_2	power	0	1	161
Leaf_BH_3	power	0	1	161
Focused_BH_original	fdp	0	1	161
Leaf_BH_1	fdp	0	1	161
